X_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
19967,SC,655,Toronto,2018-03
19968,ET,95,Outside City Limits,2018-04
19969,ET,320,Toronto,2018-04
19970,NY,37,Outside City Limits,2018-04
19971,NY,206,Toronto,2018-04
19972,SC,61,Outside City Limits,2018-04
19973,SC,347,Toronto,2018-04
19974,ET,216,Outside City Limits,2018-05
19975,ET,459,Toronto,2018-05
19976,NY,140,Outside City Limits,2018-05
19977,NY,492,Toronto,2018-05
19978,SC,108,Outside City Limits,2018-05
19979,SC,494,Toronto,2018-05
19980,ET,88,Outside City Limits,2018-06
19981,ET,377,Toronto,2018-06
19982,NY,31,Outside City Limits,2018-06
19983,NY,194,Toronto,2018-06
19984,SC,82,Outside City Limits,2018-06
19985,SC,513,Toronto,2018-06
19986,ET,117,Outside City Limits,2018-07
19987,ET,327,Toronto,2018-07
19988,NY,125,Outside City Limits,2018-07
19989,NY,348,Toronto,2018-07
19990,SC,72,Outside City Limits,2018-07
19991,SC,522,Toronto,2018-07
19992,ET,81,Outside City Limits,2018-08
19993,ET,220,Toronto,2018-08
19994,NY,26,Outside City Limits,2018-08
19995,NY,183,Toronto,2018-08
19996,SC,70,Outside City Limits,2018-08
19997,SC,406,Toronto,2018-08
19998,ET,157,Outside City Limits,2018-09
19999,ET,373,Toronto,2018-09
20000,NY,101,Outside City Limits,2018-09
20001,NY,285,Toronto,2018-09
20002,SC,133,Outside City Limits,2018-09
20003,SC,582,Toronto,2018-09
20004,ET,170,Outside City Limits,2018-10
20005,ET,573,Toronto,2018-10
20006,NY,37,Outside City Limits,2018-10
20007,NY,214,Toronto,2018-10
20008,SC,80,Outside City Limits,2018-10
20009,SC,592,Toronto,2018-10
20010,ET,175,Outside City Limits,2018-11
20011,ET,510,Toronto,2018-11
20012,NY,63,Outside City Limits,2018-11
20013,NY,343,Toronto,2018-11
20014,SC,101,Outside City Limits,2018-11
20015,SC,425,Toronto,2018-11
20016,ET,85,Outside City Limits,2018-12
20017,ET,144,Toronto,2018-12
20018,NY,89,Outside City Limits,2018-12
20019,NY,287,Toronto,2018-12
20020,SC,73,Outside City Limits,2018-12
20021,SC,433,Toronto,2018-12
20022,ET,199,Outside City Limits,2019-01
20023,ET,612,Toronto,2019-01
20024,NY,122,Outside City Limits,2019-01
20025,NY,455,Toronto,2019-01
20026,SC,105,Outside City Limits,2019-01
20027,SC,505,Toronto,2019-01
20028,ET,189,Outside City Limits,2019-02
20029,ET,573,Toronto,2019-02
20030,NY,80,Outside City Limits,2019-02
20031,NY,328,Toronto,2019-02
20032,SC,84,Outside City Limits,2019-02
20033,SC,379,Toronto,2019-02
